"filename", "language", "JavaScript", "Markdown", "Vue", "HTML", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\学习\大三上\java\ydhlw\ydhlw\.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\学习\大三上\java\ydhlw\ydhlw\README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 6, 25
"d:\学习\大三上\java\ydhlw\ydhlw\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\学习\大三上\java\ydhlw\ydhlw\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 19, 0, 1, 20
"d:\学习\大三上\java\ydhlw\ydhlw\package-lock.json", "JSON", 0, 0, 0, 0, 11369, 0, 0, 1, 11370
"d:\学习\大三上\java\ydhlw\ydhlw\package.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 1, 30
"d:\学习\大三上\java\ydhlw\ydhlw\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\学习\大三上\java\ydhlw\ydhlw\src\App.vue", "Vue", 0, 0, 62, 0, 0, 0, 0, 6, 68
"d:\学习\大三上\java\ydhlw\ydhlw\src\api\events.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\学习\大三上\java\ydhlw\ydhlw\src\api\registration.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\CustomHeader.vue", "Vue", 0, 0, 54, 0, 0, 0, 0, 8, 62
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EditEventForm.vue", "Vue", 0, 0, 169, 0, 0, 0, 2, 6, 177
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EventCard.vue", "Vue", 0, 0, 73, 0, 0, 0, 0, 3, 76
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EventCard2.vue", "Vue", 0, 0, 38, 0, 0, 0, 0, 3, 41
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EventForm.vue", "Vue", 0, 0, 148, 0, 0, 0, 0, 7, 155
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\ParticipantTable.vue", "Vue", 0, 0, 91, 0, 0, 0, 7, 4, 102
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\RegistrationItem.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 3, 34
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\RegistrationList.vue", "Vue", 0, 0, 150, 0, 0, 0, 0, 7, 157
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\StatusUpdater.vue", "Vue", 0, 0, 36, 0, 0, 0, 0, 2, 38
"d:\学习\大三上\java\ydhlw\ydhlw\src\main.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 8, 37
"d:\学习\大三上\java\ydhlw\ydhlw\src\router\index.js", "JavaScript", 56, 0, 0, 0, 0, 0, 1, 5, 62
"d:\学习\大三上\java\ydhlw\ydhlw\src\store\index.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 3, 51
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EditEvent.vue", "Vue", 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EventDetail.vue", "Vue", 0, 0, 37, 0, 0, 0, 0, 3, 40
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EventList.vue", "Vue", 0, 0, 88, 0, 0, 0, 1, 5, 94
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EventOverview.vue", "Vue", 0, 0, 58, 0, 0, 0, 0, 3, 61
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\Login.vue", "Vue", 0, 0, 91, 0, 0, 0, 0, 7, 98
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\NewEvent.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\RegistrationPage.vue", "Vue", 0, 0, 25, 0, 0, 0, 0, 3, 28
"d:\学习\大三上\java\ydhlw\ydhlw\vue.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 13, 1, 28
"Total", "-", 195, 19, 1177, 16, 11398, 19, 29, 112, 12965
